collegeName,program,degree,decision,semester,origin,gpa,gre,gre_v,gre_aw
University Of North Carolina At Chapel Hill (UNC),Computer Science,Masters,Other,S12,International,,,,
University Of California San Diego(UCSD),Computer Science,Masters,Other,F12,International,,,,
Oregon State University,Computer Science,Masters,Rejected,F12,International,,,,
Georgia Institute of Technology,Computer Science,Masters,Accepted,F12,International,3.80,800,650,4.00
University Of Alberta,Computer Science,Masters,Accepted,F12,International,3.83,780,530,2.50
Columbia University,Computer Science,Masters,Other,F20,International,,,,
Columbia University,Computer Science,Masters,Other,F20,,,,,
Columbia University,Computer Science,Masters,Other,F20,International,,,,
Columbia University,Computer Science,Masters,Other,F20,,,,,
Columbia University,Computer Science,Masters,Other,F20,International,,,,
Columbia University,Computer Science,Masters,Other,F20,American,,,,
Columbia University,Computer Science,Masters,Other,F20,,,,,
University of Southern California,Computer Science,Masters,Rejected,F20,American,,,,
University of Southern California,Computer Science,Masters,Other,F20,International,,,,
University of Southern California,Computer Science,Masters,Other,F20,,,,,
University of Southern California,Computer Science - Intelligent Robotics,Masters,Rejected,F20,International,,,,
Columbia University,Computer Science,Masters,Other,F20,,,,,
Columbia University,Computer Science,Masters,Other,F20,,,,,
University of Southern California,Computer Science,Masters,Rejected,F20,International,3.80,163,146,3.00
University of Southern California,Computer Science(Data Science),Masters,Rejected,F20,,,,,
University of Southern California,Computer Science,Masters,Rejected,F20,International,,,,
University of Southern California,Computer Science,Masters,Accepted,F20,International,,,,
University of Southern California,Computer Science,Masters,Other,F20,,,,,
University of Southern California,Computer Science,Masters,Other,F20,International,,,,
University Of Cambridge,Computer Science,Masters,Rejected,F20,International,,,,
Georgia State University,Computer Science,Masters,Accepted,F13,International,3.50,154,144,3.00
Wayne State University,Computer Science,Masters,Accepted,F13,International,3.50,154,144,3.00
New Mexico State University,Computer Science,Masters,Accepted,F13,International,3.50,154,144,3.00
Columbia University,Computer Science,Masters,Rejected,F13,American,,,,
Carnegie Mellon Univesity,Computer Science,Masters,Wait,F13,International,,,,
University of Southern California,Computer Science,Masters,Accepted,F13,International,,,,
Purdue,Computer Science,Masters,Accepted,F13,International,3.50,170,152,3.50
UWO,Computer Science,Masters,Other,F13,International,,,,
Cambridge,Computer Science,Masters,Interview,F13,International,,,,
